match_id,date,time,home_team,away_team,arena,home_goals,away_goals,status,round,season
SHL_68276131d745973fdd6d7b1e,2026-01-17,14:15,Luleå Hockey,Leksands IF,Coop Norrbotten Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e3a,2026-01-17,14:15,Skellefteå AIK,Örebro Hockey,Skellefteå Kraft Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e3b,2026-01-17,14:15,Djurgårdens IF,Frölunda HC,Hovet,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e3d,2026-01-17,17:00,Färjestad BK,Brynäs IF,Löfbergs Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745973fd97dcb24,2026-01-17,17:00,Växjö Lakers,HV71,Vida Arena,,,Scheduled,20,2024-2025
SHL_68276131d745973fdd6d7b1f,2026-01-17,17:00,Linköping HC,Timrå IK,Saab Arena,,,Scheduled,20,2024-2025
SHL_68276131d745973fdd6d7b20,2026-01-22,18:00,Färjestad BK,Luleå Hockey,Löfbergs Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fbe09bcd3,2026-01-22,18:00,Örebro Hockey,Växjö Lakers,Behrn Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fbe09bcd2,2026-01-22,18:00,Brynäs IF,Djurgårdens IF,Monitor ERP Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fd97dcb25,2026-01-22,18:00,Frölunda HC,Skellefteå AIK,Scandinavium,,,Scheduled,21,2024-2025
SHL_68276131d745973fdd6d7b21,2026-01-22,18:00,HV71,Linköping HC,Husqvarna Garden,,,Scheduled,21,2024-2025
SHL_682705d9d745973fd97dcb26,2026-01-22,18:00,Leksands IF,Rögle BK,Tegera Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fd97dcb27,2026-01-24,14:15,Leksands IF,Växjö Lakers,Tegera Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fd97dcb28,2026-01-24,14:15,Frölunda HC,Örebro Hockey,Scandinavium,,,Scheduled,21,2024-2025
SHL_682705d9d745973fdd6d6ffa,2026-01-24,14:15,Timrå IK,Färjestad BK,SCA Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fbe09bcd5,2026-01-24,14:15,Rögle BK,Skellefteå AIK,Catena Arena,,,Scheduled,21,2024-2025
SHL_682705d9d745973fbe09bcd6,2026-01-24,17:00,HV71,Brynäs IF,Husqvarna Garden,,,Scheduled,21,2024-2025
SHL_682705d9d745973fdd6d6ffb,2026-01-24,17:00,Djurgårdens IF,Malmö Redhawks,Hovet,,,Scheduled,21,2024-2025
